Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
1,Novak Djokovic,31.6,2206.8,2113.5,2042.1,1969.2,2016 Monte Carlo Masters R32,28.9,2471.6
2,Rafael Nadal,32.6,2156.0,1968.0,2134.2,1611.8,2009 Madrid Masters F,22.9,2369.2
3,Roger Federer,37.4,2142.6,2036.1,1738.7,1886.6,2007 Indian Wells Masters R64,25.6,2377.2
4,Alexander Zverev,21.8,2068.8,1951.6,2056.9,1695.5,2017 Cincinnati Masters R32,20.3,2140.4
5,Kei Nishikori,29.1,2045.8,1932.7,1959.3,1740.2,2016 Us Open SF,26.7,2210.6
6,Daniil Medvedev,23.0,2038.0,1961.7,1484.5,1631.5,2019 Rotterdam SF,23.0,2057.7
7,Kevin Anderson,32.7,2006.5,1881.2,1800.1,1734.5,2019 Australian Open R64,32.7,2020.9
8,Roberto Bautista Agut,30.8,1988.7,1898.2,1812.3,1774.8,2016 Rotterdam QF,27.8,2015.8
9,Juan Martin Del Potro,30.4,1985.7,1882.9,1730.6,1566.4,2009 Tokyo R32,21.0,2231.4
10,Marin Cilic,30.3,1981.9,1839.4,1823.0,1829.9,2010 Dubai QF,21.4,2095.2
11,Stefanos Tsitsipas,20.5,1974.7,1867.3,1754.1,1562.2,2019 Australian Open SF,20.4,1989.0
12,Dominic Thiem,25.5,1969.3,1842.8,2003.3,1625.7,2016 Halle SF,22.8,2123.8
13,Borna Coric,22.3,1958.1,1839.6,1801.7,1528.5,2019 Australian Open R16,22.2,1997.2
14,Karen Khachanov,22.7,1950.2,1821.1,1785.6,1730.9,2018 Doha R32,22.6,2013.0
15,Milos Raonic,28.1,1949.7,1846.4,1825.2,1778.1,2016 Wimbledon F,25.5,2157.0
16,Gael Monfils,32.4,1934.7,1885.5,1697.7,1587.5,2015 Monte Carlo Masters SF,28.6,2069.6
17,Grigor Dimitrov,27.7,1934.0,1868.0,1780.1,1669.6,2014 Canada Masters SF,23.2,2091.6
18,Richard Gasquet,32.4,1899.3,1771.8,1831.5,1674.1,2013 Monte Carlo Masters QF,26.8,2053.5
19,Alex De Minaur,19.9,1898.0,1815.0,1413.7,1607.2,2019 Australian Open R32,19.9,1899.9
20,Nick Kyrgios,23.8,1897.3,1786.6,1628.7,1706.7,2017 Cincinnati Masters F,22.3,2086.7
21,Stanislas Wawrinka,33.9,1895.2,1827.8,1850.1,1519.8,2016 Australian Open R16,30.8,2147.4
22,Jo Wilfried Tsonga,33.8,1879.3,1794.7,1746.2,1596.6,2009 Indian Wells Masters R32,23.9,2126.4
23,Kyle Edmund,24.0,1877.7,1765.8,1785.2,1432.7,2018 Vienna R16,23.8,1930.9
24,John Isner,33.8,1875.9,1774.6,1772.3,1767.8,2012 US Open R32,27.3,2040.5
25,Tomas Berdych,33.4,1869.7,1801.5,1735.5,1612.9,2013 Miami Masters QF,27.5,2136.6
26,David Goffin,28.2,1864.8,1765.3,1816.0,,2017 Rome R16,26.4,2035.3
27,Fabio Fognini,31.7,1856.4,1782.3,1799.0,1604.6,2014 Munich F,26.9,2008.7
28,Diego Sebastian Schwartzman,26.5,1853.8,1734.5,1833.6,1270.7,2018 Acapulco R16,25.5,1927.4
29,Marton Fucsovics,27.0,1842.3,1738.2,1716.0,1568.3,2019 Rotterdam QF,27.0,1847.8
30,Nikoloz Basilashvili,27.0,1832.2,1726.2,1710.4,1431.8,2018 Shanghai Masters R32,26.6,1869.5
31,Fernando Verdasco,35.3,1831.8,1744.4,1782.4,1549.4,2010 Rome Masters SF,26.4,2097.4
32,Pablo Carreno Busta,27.5,1831.3,1736.0,1754.5,1257.7,2017 Roland Garros R16,25.9,1930.6
33,Lucas Pouille,24.9,1830.5,1763.2,1731.3,1597.1,2017 Madrid R64,23.2,1972.8
34,Ugo Humbert,20.6,1827.5,1755.2,1178.6,,2019 Marseille SF,20.6,1852.2
35,Gilles Simon,34.1,1825.9,1742.4,1711.8,1591.2,2009 Rotterdam R16,24.1,2016.0
36,Sam Querrey,31.3,1823.5,1712.2,1666.0,1760.9,2012 Paris Masters QF,25.1,1972.7
37,Philipp Kohlschreiber,35.3,1819.9,1714.3,1777.7,1601.8,2009 Stuttgart R16,25.7,1985.1
38,Denis Shapovalov,19.8,1819.3,1708.4,1699.9,1392.2,2018 Tokyo SF,19.5,1904.5
39,Reilly Opelka,21.5,1817.2,1733.7,1647.7,1424.8,2019 Delray Beach R16,21.5,1826.9
40,Martin Klizan,29.6,1817.0,1721.4,1738.0,1351.8,2015 Barcelona SF,25.8,1892.3
41,David Ferrer,36.9,1815.3,1788.6,1795.5,1534.0,2013 Acapulco F,30.9,2219.9
42,Pierre Hugues Herbert,27.9,1813.6,1732.0,1412.0,1539.5,2019 Montpellier F,27.9,1828.7
43,John Millman,29.7,1810.3,1717.0,1645.8,1558.5,2018 Stockholm R16,29.3,1837.5
44,Mikhail Kukushkin,31.1,1808.9,1729.2,1584.6,1485.6,2015 Sydney F,27.0,1849.4
45,Matteo Berrettini,22.9,1807.1,1681.7,1760.4,1511.8,2018 Winston Salem R16,22.4,1852.3
46,Filip Krajinovic,27.0,1806.0,1689.3,1804.4,1397.8,2018 Miami Masters R16,26.1,1855.0
47,Taylor Harry Fritz,21.3,1805.4,1730.5,1541.5,1343.1,2018 Lyon QF,20.6,1831.4
48,Feliciano Lopez,37.4,1795.9,1654.1,1721.6,1755.3,2014 Shanghai Masters SF,33.0,1946.1
49,Aljaz Bedene,29.6,1794.1,1639.6,1792.4,1535.9,2017 Wimbledon R32,28.0,1877.6
50,Jeremy Chardy,32.0,1791.0,1676.6,1682.4,1666.3,2009 Cincinnati Masters R16,22.5,1897.3
51,Andreas Seppi,35.0,1787.0,1710.1,1647.1,1615.0,2013 Australian Open R16,28.9,1906.1
52,Francis Tiafoe,21.1,1786.8,1682.0,1628.9,1596.1,2018 Estoril F,20.3,1861.6
53,Daniel Evans,28.7,1782.5,1712.9,1408.1,1590.3,2017 Australian Open R16,26.7,1824.4
54,Jan Lennard Struff,28.8,1771.7,1651.9,1651.3,1439.3,2018 Basel R16,28.5,1819.0
55,Julien Benneteau,36.8,1769.6,1668.2,1577.3,1622.6,2013 Rotterdam F,31.1,1920.1
56,Yoshihito Nishioka,23.4,1766.1,1709.8,1413.0,1312.5,2018 Traralgon CH F,23.1,1800.7
57,Bernard Tomic,26.3,1762.9,1682.8,1536.8,1662.0,2016 Australian Open R16,23.2,1946.2
58,Peter Gojowczyk,29.6,1760.4,1658.3,1537.1,1498.8,2018 Delray Beach F,28.6,1810.2
59,Marco Cecchinato,26.4,1757.7,1407.8,1792.2,1468.3,2018 Hamburg R32,25.8,1827.8
60,Steve Johnson,29.2,1757.2,1628.9,1765.9,1674.5,2017 Geneva QF,27.4,1931.6
61,Andrey Rublev,21.3,1755.5,1661.0,1587.2,1458.1,2018 Rotterdam QF,20.3,1914.7
62,Guido Pella,28.8,1754.8,1542.4,1777.0,1500.8,2016 Indian Wells Masters R32,25.8,1818.2
63,Thanasi Kokkinakis,22.7,1753.4,1680.4,1633.6,1397.2,2015 London R16,19.2,1865.7
64,Damir Dzumhur,26.7,1752.1,1670.7,1567.6,1620.5,2018 Dubai R16,25.8,1888.0
65,Benoit Paire,29.8,1751.8,1636.1,1685.7,1582.8,2016 Chennai SF,26.7,1904.7
66,Radu Albot,29.3,1748.8,1692.4,1522.1,1440.6,2019 Delray Beach F,29.3,1736.2
67,Dusan Lajovic,28.6,1744.4,1640.5,1700.9,1342.7,2018 Doha QF,28.5,1818.3
68,Leonardo Mayer,31.8,1743.3,1635.0,1722.3,1482.6,2015 Canada Masters R32,28.2,1873.7
69,Federico Delbonis,28.4,1741.5,1566.6,1740.5,1208.0,2017 Hamburg SF,26.8,1850.3
70,Hyeon Chung,22.7,1740.3,1638.2,1651.8,1303.2,2018 Miami Masters QF,21.8,1978.3
71,Mackenzie Mcdonald,23.8,1735.7,1639.8,1226.9,1599.2,2019 Delray Beach SF,23.8,1753.4
72,Laslo Djere,23.7,1733.9,1324.5,1809.5,1312.1,2018 Kitzbuhel R16,23.2,1741.3
73,Denis Istomin,32.4,1733.7,1644.9,1594.4,1565.3,2013 Dallas2 CH QF,26.5,1849.7
74,Ernests Gulbis,30.5,1733.4,1646.0,1604.7,1614.7,2014 Roland Garros SF,25.7,2049.5
