Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
222,Max Purcell,20.9,1496.6,1410.0,1432.9,1432.3,2018 S-Hertogenbosch R32,20.2,1599.5
223,Roman Safiullin,21.6,1495.1,1416.0,1316.3,,2019 Pau CH QF,21.6,1512.7
224,John Patrick Smith,29.2,1492.9,1420.4,1232.2,1447.5,2015 Cary CH R16,25.8,1665.5
225,Go Soeda,34.5,1492.5,1427.1,1247.1,1391.8,2012 Rome Masters Qual,27.7,1705.7
226,Marcelo Tomas Barrios Vera,21.2,1490.0,1403.2,1398.1,,2019 Cuernavaca CH R16,21.2,1533.9
227,Attila Balazs,29.8,1489.7,1226.0,1471.9,,2012 Bucharest SF,23.6,1631.7
228,Daniel Gimeno Traver,33.6,1489.5,1267.4,1513.9,1195.8,2010 US Open R32,25.1,1814.4
229,Nikola Milojevic,23.7,1488.1,1392.6,1462.5,,2018 Almaty CH F,23.3,1575.4
230,Lorenzo Giustino,27.5,1487.3,1309.3,1470.2,1342.7,2013 Scheveningen CH QF,21.8,1574.0
231,Renzo Olivo,26.9,1487.1,1378.4,1446.5,1367.9,2015 Buenos Aires R16,22.9,1650.3
232,Sebastian Ofner,22.8,1486.9,1456.9,1305.4,1500.6,2017 Vancouver CH R16,21.3,1666.7
233,Kevin Krawietz,27.1,1481.8,1377.6,1441.1,1348.1,2018 Meerbusch CH QF,26.6,1546.5
234,Filip Horansky,26.1,1481.7,1292.3,1465.3,1425.5,2019 Budapest CH SF,26.1,1558.7
235,Andrea Arnaboldi,31.2,1480.5,1369.3,1461.6,1465.0,2015 Cortina CH SF,27.6,1593.0
236,Tristan Lamasine,26.0,1479.2,1417.1,1362.7,1329.5,2015 Alphen CH SF,22.5,1624.0
237,Pedja Krstin,24.5,1478.6,1341.8,1484.3,,2016 Leon CH R16,21.5,1561.4
238,Christian Harrison,24.7,1477.3,1363.9,1474.9,1409.2,2018 Lisbon CH QF,24.0,1561.6
239,Adam Pavlasek,24.4,1475.7,1349.4,1483.4,1428.0,2016 Rome CH R32,22.0,1752.5
240,Maxime Janvier,22.4,1474.6,1418.6,1328.3,,2018 Tunis CH R16,21.5,1554.2
241,Pedro Cachin,23.9,1469.1,1137.5,1489.7,1368.6,2015 Banja Luka CH R32,20.4,1623.2
242,Elliot Benchetrit,20.4,1464.6,1360.6,1348.0,,2019 Bergamo CH R16,20.4,1534.6
243,Gastao Elias,28.3,1463.8,1297.2,1486.2,1259.8,2016 Olympics R32,25.7,1722.1
244,Ze Zhang,28.6,1463.3,1424.0,1326.4,1427.1,2017 Zhuhai CH QF,26.7,1610.1
245,Jc Aragone,23.7,1462.5,1375.9,1216.0,1449.4,2018 Chicago CH QF,23.2,1496.0
246,Stephane Robert,38.8,1461.0,1387.2,1474.9,1489.2,2010 Casablanca R16,29.9,1782.5
247,Calvin Hemery,24.0,1461.0,1340.2,1468.7,,2015 Padova CH SF,20.4,1643.3
248,Sergio Gutierrez Ferrol,30.0,1460.4,1176.5,1527.6,1297.5,2012 Madrid CH SF,23.6,1647.5
249,Zdenek Kolar,22.4,1453.7,1398.6,1380.4,,2018 St.Brieuc CH QF,21.4,1559.4
250,Thai Son Kwiatkowski,24.0,1453.5,1395.4,,1345.2,2019 Da Nang CH SF,23.9,1597.3
251,Mitchell Krueger,25.1,1452.8,1378.9,1365.0,1330.3,2017 Guadalajara CH QF,23.2,1560.5
252,Duck Hee Lee,20.7,1449.1,1413.0,1139.2,1272.9,2016 Chengdu CH SF,18.2,1524.8
253,Jared Hiltzik,24.6,1448.1,1410.9,1150.1,,2019 Dallas CH R16,24.6,1462.0
254,Marcelo Arevalo,28.3,1447.7,1324.1,1550.1,1299.2,2017 Santiago CH F,27.1,1599.4
255,Ramkumar Ramanathan,24.3,1443.3,1336.5,1412.4,1543.5,2018 Nanchang CH QF,23.4,1586.4
256,Carlos Taberner,21.5,1443.0,1318.9,1522.5,,2017 Rome CH SF,20.1,1691.4
257,Marc Polmans,21.8,1441.8,1374.0,1389.9,1347.0,2018 Tallahassee CH F,21.0,1530.5
258,Emilio Gomez,27.2,1441.1,1327.7,1389.3,1318.5,2014 Salinas CH SF,22.2,1566.0
259,Liam Broady,25.1,1440.9,1398.9,1326.1,1173.8,2017 Las Vegas CH F,23.8,1642.5
260,Hiroki Moriya,28.4,1439.0,1371.9,1161.8,1416.9,2012 Brisbane Qual,22.2,1567.4
261,Victor Estrella,38.5,1437.5,1344.7,1506.5,1392.6,2015 Munich QF,34.7,1782.7
262,Guilherme Clezar,26.2,1436.8,1128.4,1471.1,1269.9,2016 Rio de Janeiro CH F,23.0,1598.4
263,Roberto Quiroz,27.0,1434.9,1383.2,1311.8,1415.2,2017 Leon CH F,25.1,1542.7
264,James Ward,32.0,1434.4,1358.8,1389.8,1391.0,2014 Traralgon2 CH F,27.7,1671.9
265,Sebastian Fanselow,27.1,1434.1,1361.0,1206.2,,2019 Burnie CH QF,27.0,1563.9
266,Jan Choinski,22.7,1432.7,1363.2,1380.5,1268.6,2019 Pau CH R16,22.7,1443.9
267,Federico Coria,27.0,1432.0,1204.9,1442.6,,2018 Buenos Aires CH SF,26.7,1504.4
