Rank,Player,Age,Elo,Hard,Clay,Grass,Peak Match,Peak Age,Peak Elo
1,Novak Djokovic,31.8,2193.4,2097.5,2042.1,1969.2,2016 Monte Carlo Masters R32,28.9,2471.6
2,Roger Federer,37.6,2155.0,2052.1,1738.7,1886.6,2007 Indian Wells Masters R64,25.6,2377.2
3,Rafael Nadal,32.8,2152.9,1973.0,2134.2,1611.8,2009 Madrid Masters F,22.9,2369.2
4,Alexander Zverev,21.9,2049.5,1933.3,2056.9,1695.5,2017 Cincinnati Masters R32,20.3,2140.4
5,Kei Nishikori,29.2,2019.9,1903.2,1959.3,1740.2,2016 Us Open SF,26.7,2210.6
6,Dominic Thiem,25.5,2012.0,1905.2,2003.3,1625.7,2016 Halle SF,22.8,2123.8
7,Daniil Medvedev,23.1,1997.4,1915.3,1484.5,1631.5,2019 Rotterdam SF,23.0,2057.7
8,Juan Martin Del Potro,30.4,1985.7,1882.9,1730.6,1566.4,2009 Tokyo R32,21.0,2231.4
9,Stefanos Tsitsipas,20.6,1971.5,1864.8,1754.1,1562.2,2019 Dubai F,20.5,2006.9
10,Marin Cilic,30.4,1963.7,1821.4,1823.0,1829.9,2010 Dubai QF,21.4,2095.2
11,Roberto Bautista Agut,30.9,1961.1,1865.3,1812.3,1774.8,2016 Rotterdam QF,27.8,2015.8
12,Gael Monfils,32.5,1959.7,1907.1,1697.7,1587.5,2015 Monte Carlo Masters SF,28.6,2069.6
13,Karen Khachanov,22.8,1954.0,1827.1,1785.6,1730.9,2018 Doha R32,22.6,2013.0
14,Nick Kyrgios,23.9,1953.6,1854.2,1628.7,1706.7,2017 Cincinnati Masters F,22.3,2086.7
15,Borna Coric,22.3,1953.3,1837.5,1801.7,1528.5,2019 Australian Open R16,22.2,1997.2
16,Milos Raonic,28.2,1946.1,1842.0,1825.2,1778.1,2016 Wimbledon F,25.5,2157.0
17,Kyle Edmund,24.2,1916.6,1818.9,1785.2,1432.7,2018 Vienna R16,23.8,1930.9
18,Stanislas Wawrinka,33.9,1907.5,1839.5,1850.1,1519.8,2016 Australian Open R16,30.8,2147.4
19,Kevin Anderson,32.7,1901.5,1776.2,1695.1,1629.5,2019 Australian Open R64,32.7,2020.9
20,Richard Gasquet,32.4,1899.3,1771.8,1831.5,1674.1,2013 Monte Carlo Masters QF,26.8,2053.5
21,John Isner,33.9,1891.0,1787.9,1772.3,1767.8,2012 US Open R32,27.3,2040.5
22,Jo Wilfried Tsonga,33.8,1879.3,1794.7,1746.2,1596.6,2009 Indian Wells Masters R32,23.9,2126.4
23,Alex De Minaur,20.0,1866.1,1774.3,1413.7,1607.2,2019 Acapulco QF,20.0,1906.7
24,Tomas Berdych,33.5,1857.0,1782.4,1735.5,1612.9,2013 Miami Masters QF,27.5,2136.6
25,Diego Sebastian Schwartzman,26.5,1847.8,1724.6,1833.6,1270.7,2018 Acapulco R16,25.5,1927.4
26,Marton Fucsovics,27.1,1846.7,1745.4,1716.0,1568.3,2019 Dubai QF,27.0,1860.8
27,Philipp Kohlschreiber,35.4,1846.0,1751.3,1777.7,1601.8,2009 Stuttgart R16,25.7,1985.1
28,Fabio Fognini,31.8,1845.4,1766.2,1799.0,1604.6,2014 Munich F,26.9,2008.7
29,David Goffin,28.3,1841.7,1734.9,1816.0,,2017 Rome R16,26.4,2035.3
30,Nikoloz Basilashvili,27.0,1837.7,1733.1,1710.4,1431.8,2018 Shanghai Masters R32,26.6,1869.5
31,Denis Shapovalov,19.9,1837.5,1727.5,1699.9,1392.2,2018 Tokyo SF,19.5,1904.5
32,Fernando Verdasco,35.3,1834.2,1747.2,1782.4,1549.4,2010 Rome Masters SF,26.4,2097.4
33,Matteo Berrettini,22.9,1834.1,1717.5,1760.4,1511.8,2018 Winston Salem R16,22.4,1852.3
34,Pablo Carreno Busta,27.5,1831.3,1736.0,1754.5,1257.7,2017 Roland Garros R16,25.9,1930.6
35,Filip Krajinovic,27.0,1830.4,1728.2,1804.4,1397.8,2018 Miami Masters R16,26.1,1855.0
36,Grigor Dimitrov,27.7,1829.0,1763.0,1675.1,1564.6,2014 Canada Masters SF,23.2,2091.6
37,Gilles Simon,34.2,1825.7,1741.6,1711.8,1591.2,2009 Rotterdam R16,24.1,2016.0
38,Martin Klizan,29.6,1824.0,1730.4,1738.0,1351.8,2015 Barcelona SF,25.8,1892.3
39,Sam Querrey,31.4,1823.3,1712.2,1666.0,1760.9,2012 Paris Masters QF,25.1,1972.7
40,Hubert Hurkacz,22.1,1820.1,1730.3,1640.7,1380.2,2019 Indian Wells Masters QF,22.1,1824.5
41,David Ferrer,36.9,1817.2,1788.0,1795.5,1534.0,2013 Acapulco F,30.9,2219.9
42,Lucas Pouille,25.0,1815.7,1743.7,1731.3,1597.1,2017 Madrid R64,23.2,1972.8
43,Jan Lennard Struff,28.9,1809.7,1705.0,1651.3,1439.3,2018 Basel R16,28.5,1819.0
44,Mikhail Kukushkin,31.2,1808.6,1725.7,1584.6,1485.6,2015 Sydney F,27.0,1849.4
